sl_no,project_name,agency,project_code,state,ministry,sector,approval_mm_yyyy,doc_original,doc_revised,cost_original_cr,cost_revised_cr,expenditure_cr,physical_progress_pct,report_period,cost_overrun_pct,time_overrun_months,planned_duration_months
700,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher Under Deposit Scheme.,East Coast Railway [ECoR] - II,400045,Odisha,Ministry of Railways,Railways,08/2022,03/2025,01/2025,168.32,168.32,69.85,82.0,2026-06,0.0,-2.0,31
701,Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPC exchange yard and NTPC Block Cabin.,East Coast Railway [ECoR] - II,400047,Odisha,Ministry of Railways,Railways,08/2022,12/2024,12/2026,210.0,210.0,41.17,53.0,2026-06,0.0,24.0,28
702,Doubling of lines connecting the loading spurs in Talcher Yard.,East Coast Railway [ECoR] - II,400048,Odisha,Ministry of Railways,Railways,09/2022,12/2024,06/2027,186.21,186.21,105.07,88.0,2026-06,0.0,30.0,27
703,Brundamal-Jharsuguda- flyover connection for joining downline,East Coast Railway [ECoR] - II,400232,Odisha,Ministry of Railways,Railways,01/2014,12/2026,12/2026,297.0,297.0,237.83,67.0,2026-06,0.0,0.0,155
704,3rd & 4th line between Sarla - Sason [8 km] [PB 73/2023-24/NR],East Coast Railway [ECoR] - II,612834,Odisha,Ministry of Railways,Railways,04/2023,12/2025,-,252.0,252.0,117.97,92.0,2026-06,0.0,,32
705,Rourkela-Bondamunda A-Cabin 5th line [9.6 km],CAO/C/SER,615915,Odisha,Ministry of Railways,Railways,09/2022,03/2026,11/2026,244.99,244.99,146.07,45.0,2026-06,0.0,8.0,42
706,Bangriposi-Gorumahisani new line [ 85.60 km ],CAO/C/SER,616586,Odisha,Ministry of Railways,Railways,08/2024,12/2029,-,2269.49,2269.49,7.14,0.0,2026-06,0.0,,64
707,Badampahar-Kendujhargarh new line [82.06 km],CAO/C/SER,616587,Odisha,Ministry of Railways,Railways,08/2024,12/2029,-,1875.72,1875.72,2.35,0.0,2026-06,0.0,,64
708,Flyover between Siju and Paradeep coaching Yard to avoid Surface crossing of trains,East Coast Railway [ECoR] - II,616694,Odisha,Ministry of Railways,Railways,04/2023,07/2028,-,200.77,200.77,37.26,5.5,2026-06,0.0,,63
709,Paradeep - Badabandha 3rd & 4th Line / 18.51kms,East Coast Railway [ECoR] - II,616695,Odisha,Ministry of Railways,Railways,08/2023,11/2028,-,300.15,300.15,2.47,10.5,2026-06,0.0,,63
710,Naupada-Gunupur - New line upto Theruvali [73.62 km],Indian Railway,616839,Odisha,Ministry of Railways,Railways,08/2024,12/2029,-,1165.89,1165.89,0.0,0.0,2026-06,0.0,,64
711,New Line between Junagarh - Nabarangpur [116.21 Km],Indian Railway,618995,Odisha,Ministry of Railways,Railways,08/2024,08/2030,-,2864.51,2864.51,1.06,0.0,2026-06,0.0,,72
712,Khurda-Bolangir New Broad Gauge Rail Link [301km],East Coast Railway [ECoR] - II,705358,Odisha,Ministry of Railways,Railways,03/1994,12/2026,12/2026,3792.0,5089.0,5789.53,92.5,2026-06,34.2036,0.0,393
713,Talcher-Bimlagarh New Railway Line,East Coast Railway [ECoR] - II,705359,Odisha,Ministry of Railways,Railways,03/2004,03/2025,03/2029,1928.0,1928.0,2127.3,57.0,2026-06,0.0,48.0,252
714,Bhadrak-Nergundi Third Line,East Coast Railway [ECoR] - II,705510,Odisha,Ministry of Railways,Railways,10/2015,11/2024,01/2026,1284.0,1284.0,1379.6,95.8,2026-06,0.0,14.0,109
715,Koraput - Singapur Railway Doubling,East Coast Railway [ECoR] - II,705513,Odisha,Ministry of Railways,Railways,12/2015,12/2027,03/2028,2362.0,2362.0,2007.83,67.67,2026-06,0.0,3.0,144
716,Jarapada- Budhapank with flyover at Talcher road 3rd and 4th Line,East Coast Railway [ECoR] - II,705514,Odisha,Ministry of Railways,Railways,11/2015,11/2018,03/2028,1000.0,810.02,478.83,59.0,2026-06,-18.998,112.0,36
717,3rd & 4th Railway Line Project from Salegaon to Budhapank via Rajathgarh.,East Coast Railway [ECoR] - II,705515,Odisha,Ministry of Railways,Railways,07/2013,03/2026,03/2026,1173.0,2092.0,2138.09,90.0,2026-06,78.3461,0.0,152
718,Jeypore-Navarangpur New Rail Line Project,East Coast Railway [ECoR] - II,705741,Odisha,Ministry of Railways,Railways,07/2017,07/2028,12/2029,748.0,748.0,15.91,2.13,2026-06,0.0,17.0,132
719,Khurda Road - Balangir Electrification of Railway Track Project,Ministry of Railways,706898,Odisha,Ministry of Railways,Railways,09/2018,03/2021,-,267.61,267.61,0.0,0.0,2026-06,0.0,,30
720,GANDHAMARDAN IRON ORE MINES TO GOALDIH STATION/12.76kms,East Coast Railway [ECoR] - II,709811,Odisha,Ministry of Railways,Railways,09/2022,09/2027,09/2027,190.0,189.93,3.4,5.0,2026-06,-0.0368,0.0,60
721,"Jaynagar-Bijalpura, incl. extn. Bet, Bijalpura-Bardibas [Nepal]",East Central Railway [ECR] - I,705362,Offshore,Ministry of Railways,Railways,08/2015,03/2022,03/2026,819.0,819.0,580.51,75.0,2026-06,0.0,48.0,79
722,North Region Video Surveillance Project,RCIL,705298,PAN India,Ministry of Railways,Railways,06/2020,03/2024,-,274.39,274.39,0.0,48.0,2026-06,0.0,,45
723,Ludhiana Mullanpur 21Km Doubling Railway project (CAO/C/NR) (607653) (-) (-) Punjab NA (10/2022) 06/2024 (02/2027) 234.78 (234.78) 61.39 99 724 Ludhiana- Killa Raipur Railway Doubling Project,Railway,705783,Punjab,Ministry of Railways,Railways,03/2019,03/2025,02/2027,237.64,238.0,137.05,57.0,2026-06,0.1515,23.0,72
725,Devgarh Madariya - Nathdwara Gauge Conversion [82.54 Km] part of Marwar - Mavli Gauge Conversion [152 Km],North Western Railway [NWR],611855,Rajasthan,Ministry of Railways,Railways,01/2023,01/2027,-,968.92,968.92,745.15,73.0,2026-06,0.0,,48
726,Maintenance cum workshop depot for Vande Bharat Sleeper Trains as per conditions under WTA 527,WPO/Patna,611929,Rajasthan,Ministry of Railways,Railways,09/2022,12/2024,-,166.86,166.86,0.0,0.0,2026-06,0.0,,27
727,PUSHKAR- MERTA CITY NEW LINE,North Western Railway [NWR],616841,Rajasthan,Ministry of Railways,Railways,02/2024,12/2026,12/2028,799.64,799.64,224.71,8.0,2026-06,0.0,24.0,34
728,AJMER- CHANDERIYA DOUBLING,North Western Railway [NWR],616843,Rajasthan,Ministry of Railways,Railways,02/2024,06/2027,03/2028,1634.79,1634.79,489.56,22.0,2026-06,0.0,9.0,40
729,SADULPUR - CHURU DOUBLING PROJECT,North Western Railway [NWR],617403,Rajasthan,Ministry of Railways,Railways,01/2024,06/2026,-,468.64,468.64,197.84,95.0,2026-06,0.0,,29
730,POKHRAN - RAMDEVRA New Line,North Western Railway [NWR],617404,Rajasthan,Ministry of Railways,Railways,04/2025,03/2028,-,189.21,189.21,55.58,2.0,2026-06,0.0,,35
731,NATHDWARA- NATHDWARA TOWN NL,North Western Railway [NWR],617408,Rajasthan,Ministry of Railways,Railways,03/2019,03/2027,-,166.33,166.33,112.55,15.0,2026-06,0.0,,96
732,Dholpur - Sirmuttra Gauge Conversion,North Central Railway,705482,Rajasthan,Ministry of Railways,Railways,03/2022,02/2019,02/2027,747.0,747.0,509.8,49.7,2026-06,0.0,96.0,-37
733,Gudha-Thatha Mithri Construction of Railway Track Project,North Western Railway [NWR],705752,Rajasthan,Ministry of Railways,Railways,04/2019,11/2026,11/2026,819.48,967.06,405.39,95.0,2026-06,18.009,0.0,91
734,Sawai Madhopur-Jaipur Railway Line Project,North Western Railway [NWR],705912,Rajasthan,Ministry of Railways,Railways,02/2024,03/2027,-,1203.89,1203.89,240.33,19.0,2026-06,0.0,,37
735,Agra Fort-Bandikui Doubling Line Project,CAO/C/NCR,705919,Rajasthan,Ministry of Railways,Railways,06/2022,06/2027,06/2027,1390.0,1390.0,529.92,56.0,2026-06,0.0,0.0,60
736,Dedicated Test Track for RDSO /Phase-II Project,North Western Railway [NWR],706836,Rajasthan,Ministry of Railways,Railways,11/2021,03/2026,-,466.42,466.42,538.22,98.0,2026-06,0.0,,52
737,Sawaimadhopur Bye Pass Line Project,North Western Railway [NWR],706866,Rajasthan,Ministry of Railways,Railways,12/2022,03/2026,05/2027,304.0,304.0,93.09,77.0,2026-06,0.0,14.0,39
738,Phase II extension of MRTS from Velachery to St Thomas Mount,Ministry of Railways,400280,Tamil Nadu,Ministry of Railways,Railways,11/2007,07/2025,09/2025,734.0,734.01,486.53,99.9,2026-06,0.0014,2.0,212
739,Redevelopment of Chennai Egmore Station,Ministry of Railways,613002,Tamil Nadu,Ministry of Railways,Railways,05/2022,03/2026,-,842.0,842.0,340.0,0.0,2026-06,0.0,,46
740,Coach Production Factory Upgradation Project,CPM/ICF,705244,Tamil Nadu,Ministry of Railways,Railways,12/2017,12/2021,-,520.0,520.0,192.25,0.0,2026-06,0.0,,48
741,Doubling between Bhadrachalam Road and Dornakal,South Central Railway [SCR] - II,616856,Telangana,Ministry of Railways,Railways,08/2023,04/2029,-,770.12,770.12,87.94,0.06,2026-06,0.0,,68
742,Railway Manufacturing Unit,RVNL - II,617409,Telangana,Ministry of Railways,Railways,07/2016,12/2026,03/2026,521.36,521.36,492.12,91.0,2026-06,0.0,-9.0,125
743,Kazipet Wagon Overhauling Project,RVNL,705252,Telangana,Ministry of Railways,Railways,09/2017,12/2023,-,385.0,385.0,0.0,0.0,2026-06,0.0,,75
744,Manoharabad-Kothapalli New Rail Line [151 km],South Central Railway [SCR] - II,705437,Telangana,Ministry of Railways,Railways,07/2016,03/2027,12/2027,1160.0,2781.0,3073.41,72.02,2026-06,139.7414,9.0,128
745,Bahraich-Shravasti-Balrampur-Siddharthnagar -Santkabir nagar,North Eastern Railway [NER],400204,Uttar Pradesh,Ministry of Railways,Railways,10/2018,10/2030,10/2030,4939.78,4939.78,1086.23,13.1,2026-06,0.0,0.0,144
746,Sahjanwa-Dohrighat,North Eastern Railway [NER],400205,Uttar Pradesh,Ministry of Railways,Railways,08/2019,03/2029,03/2029,1319.75,1319.75,544.89,4.2,2026-06,0.0,0.0,115
747,Varanasi-Pt. Deen Dayal Upadhyaya multitracking 15km including construction of new Rail-cum-Road Bridge across Ganga River.,Northern Railways,617213,Uttar Pradesh,Ministry of Railways,Railways,10/2024,10/2029,-,2464.46,2464.46,96.98,3.93,2026-06,0.0,,60
748,Anandnagar - Ghugli via Maharajganj New line 52.7 km,Construction NER,617252,Uttar Pradesh,Ministry of Railways,Railways,10/2023,03/2028,-,958.27,958.27,640.17,24.0,2026-06,0.0,,53
749,Chunar-Chopan doubling project,North Central Railway,617284,Uttar Pradesh,Ministry of Railways,Railways,08/2023,03/2028,-,1423.96,1423.96,151.57,18.5,2026-06,0.0,,55
750,Surface triangle line bet. Bhadura stn and new crossing stn Karma,East Central Railway [ECR] - I,617333,Uttar Pradesh,Ministry of Railways,Railways,10/2022,02/2027,-,199.96,199.96,7.67,0.6,2026-06,0.0,,52
751,Doubling between Jaunpur Jn - Zaffarabad 6.28 km,M/S SRC company Infra Private Limited,617370,Uttar Pradesh,Ministry of Railways,Railways,03/2023,01/2027,-,180.66,180.66,65.54,27.55,2026-06,0.0,,46
752,Burhwal Gonda 3rd line,North Eastern Railway [NER],705567,Uttar Pradesh,Ministry of Railways,Railways,11/2017,03/2025,05/2026,1016.0,1118.0,1058.77,88.5,2026-06,10.0394,14.0,88
753,Janghai-Pratapgarh- Amethi,CAO/C/II/NR,705588,Uttar Pradesh,Ministry of Railways,Railways,11/2017,03/2025,03/2026,722.0,1194.0,1729.27,70.0,2026-06,65.374,12.0,88
754,Lalitpur-Birari with flyover at Lalitpur- 16 Km,North Central Railway,705766,Uttar Pradesh,Ministry of Railways,Railways,03/2017,12/2024,01/2026,304.44,356.0,283.67,86.0,2026-06,16.936,13.0,93
755,Allahabad-Bamhrauli Flyover Construction & 4th Railway Line Project,North Central Railway,705771,Uttar Pradesh,Ministry of Railways,Railways,04/2019,03/2026,03/2026,494.0,494.0,410.3,80.0,2026-06,0.0,0.0,83
756,"Mughalsarai-Allahabad, 3rd line",North Central Railway,705772,Uttar Pradesh,Ministry of Railways,Railways,12/2015,12/2026,03/2027,2649.0,2649.44,2024.65,74.0,2026-06,0.0166,3.0,132
757,Aligarh -Daud Khan Flyover Construction & 3rd Railway Line Project,CAO/C/NCR,705774,Uttar Pradesh,Ministry of Railways,Railways,04/2019,01/2025,03/2027,758.0,779.49,511.12,83.0,2026-06,2.8351,26.0,69
758,Bhandai - Flyover for Etawah bound down train- 10 Km,North Central Railway [NCR] - II,705777,Uttar Pradesh,Ministry of Railways,Railways,07/2020,02/2026,02/2027,250.18,250.18,163.27,9.0,2026-06,0.0,12.0,67
759,Bhatni-Aurnihar with electrification excluding Indara-Mau,RVNL - I,705780,Uttar Pradesh,Ministry of Railways,Railways,03/2018,12/2024,06/2026,2529.0,2529.46,2171.72,96.7,2026-06,0.0182,18.0,81
760,Barabanki-Malhaur 3rd & 4th Railway Line Project,Ministry of Railways,705782,Uttar Pradesh,Ministry of Railways,Railways,01/2019,03/2025,08/2026,407.0,407.0,417.22,78.0,2026-06,0.0,17.0,74
761,Allahabad division - Aligarh - Harduaganj Flyover,North Central Railway,705918,Uttar Pradesh,Ministry of Railways,Railways,04/2020,10/2026,03/2027,1457.0,1457.0,400.19,36.0,2026-06,0.0,5.0,78
762,Rishikesh-Karnaprayag New Rail Line- 125 km,RVNL - II,705429,Uttarakhand,Ministry of Railways,Railways,11/2016,12/2025,12/2028,38953.0,38953.0,28828.18,77.5,2026-06,0.0,36.0,109
763,Kalinarayanpur-Krishnanagar Doubling Alongwith Krishnanagar - Chapra New Line And Naihati-Ranaghat 3rd Line.,Eastern Railway [ER] - I,400247,West Bengal,Ministry of Railways,Railways,07/2015,02/2027,03/2028,1000.0,1000.0,1066.85,76.0,2026-06,0.0,13.0,139
764,Tarakeshwar-Bishnupur New Line [82.47 km],Eastern Railway [ER] - I,400273,West Bengal,Ministry of Railways,Railways,03/2001,03/2019,02/2026,1189.0,1542.0,1390.59,96.9,2026-06,29.6888,83.0,216
765,Dum Dum Airport-New Garia via Rajarhat-Construction of Metro Railway,RVNL - II,400277,West Bengal,Ministry of Railways,Railways,03/2010,12/2025,12/2027,8964.0,8964.0,8984.66,87.0,2026-06,0.0,24.0,189
766,Construction of Balurghat-Hilli new BG Line,Northeast Frontier Railway [NFR],612096,West Bengal,Ministry of Railways,Railways,12/2010,03/2027,03/2027,1209.0,1181.57,518.15,18.0,2026-06,-2.2688,0.0,195
767,SER Upgradation of maintenance infrastructure at Shalimar into Vande Bharat Chair Car maintenance cum workshop depot.,South Eastern Railway - JH,617345,West Bengal,Ministry of Railways,Railways,03/2024,10/2026,-,226.87,226.87,86.69,50.0,2026-06,0.0,,31
768,Joka-BBD Bag new metro project,RVNL - II,705730,West Bengal,Ministry of Railways,Railways,03/2010,12/2026,12/2029,4835.0,10362.0,5098.73,51.0,2026-06,114.3123,36.0,201
769,Noapara-Barasat via Bimanbandar - Construction of Metro railway [18 km],"Metro Railway, Kolkata",706776,West Bengal,Ministry of Railways,Railways,11/2010,08/2026,03/2029,4830.0,4830.0,3350.62,32.2,2026-06,0.0,31.0,189
770,Baranagar-Barrackpore and Dakshineshwar- Construction of Metro Railway,RVNL - II,706777,West Bengal,Ministry of Railways,Railways,03/2010,12/2026,12/2030,2298.0,2734.0,429.56,17.0,2026-06,18.973,48.0,201
771,"Rehabilitation and up-gradation and completion of balance works of the section from Km 107.760 km to 129.445 km After Middle strait to Humphrey, Km 130.600 to 138.300 After Humphrey to Kadamtala of NH-4 Intermediate/2-Lane with hard shoulder in the Union Territory of Andaman & Nicobar Islands on EPC basis Package- IIIA (NHIDCL) (619184) (-) (-) Andaman & Nicobar 02/2018 (03/2024) 09/2025 (12/2026)",MoRTH,617949,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2023,03/2026,03/2026,159.66,159.66,75.64,100.0,2026-06,0.0,0.0,36
775,"Gudivada Town 2 RoB, and Road improvement NH-165",MoRTH,617984,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2022,05/2025,03/2027,317.22,317.22,0.0,75.2,2026-06,0.0,22.0,38
776,Widening to two lane with paved shoulders from Km 0/0 to 64/020 Pamarru to Akiveedu,MoRTH,617985,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2020,11/2023,05/2027,529.54,588.65,0.0,74.41,2026-06,11.1625,42.0,44
777,Kurnool/Kadapa Border-Jammalamadugu section of NH-167K i.e. Design Ch. Km 248010 to km 269900 to 2,MoRTH,617986,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2023,12/2026,12/2026,292.63,292.63,0.0,95.77,2026-06,0.0,0.0,45
778,Nandyala-Kurnool/Kadapa Border section of NH-167K i.e. Km 186/000 to Km 250/000Design Ch.186000 to 248010 to 2LPS,MoRTH,617987,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,10/2024,09/2027,09/2027,691.81,691.81,0.0,46.45,2026-06,0.0,0.0,35
779,Sangameswaram - Atmakuru section from Km 96 to Km 124 & Velegodu- Nandyal section including Nandyal Bypass from Km 143/6 to 185/9 NH-167K,MoRTH,617988,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,10/2024,07/2027,07/2027,776.17,644.14,0.0,35.6,2026-06,-17.0104,0.0,33
780,"Rehabilitation and up-gradation of NH-167 from Km 14/900 to Km70/000 Design Ch. 14/900 to 69/700 Chintakunta to Adoni section to two lane with paved shoulders in the State of Andhra Pradesh under Corridor Approach through Engineering, Procurement",MoRTH,617991,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,11/2016,05/2019,12/2026,290.15,290.15,141.83,91.9,2026-06,0.0,91.0,30
781,4-laning of Puttaparthi-Koduru Section of NH-342,MoRTH,618013,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,10/2022,11/2025,08/2026,1318.59,909.19,464.06,90.19,2026-06,-31.0483,9.0,37
782,Rehabilitation and Up-gradation of existin of road from 2-lane to 2-lane with paved shoulders from km. 0.00 to km 53.590 total length-53.590 km of Raychoti to Vempalli section of NH-440 in the State of Andhra Pradesh on EPC mode.,MoRTH,618037,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,12/2021,05/2024,09/2026,439.82,359.52,213.04,86.54,2026-06,-18.2575,28.0,29
783,Gorantla - Hindupur section from Km 120/300 to 165/000 of NH716G in the State of Andhra Pradesh,MoRTH,618052,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,10/2024,08/2027,08/2027,808.7,808.7,0.0,28.78,2026-06,0.0,0.0,34
784,Muddanur to B. Kothapalli section of NH-716G from Km. 0/000 to Km. 56/500 56.500 Km in the State of Andhra Pradesh on EPC mode Job no. 741,MoRTH,618053,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,10/2024,08/2027,08/2027,1019.97,1019.97,0.0,30.55,2026-06,0.0,0.0,34
785,Kondamodu to Perecherla Section Design Ch. Km 000 to Km 49917 of NH-167AG to to 4LPS,MoRTH,618101,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,10/2024,04/2027,04/2027,881.61,881.61,0.0,37.95,2026-06,0.0,0.0,30
786,Rehabilitation and upgradation from Km 22300 to 58635 of MudireddyPalle to Kadapa/Nellore Border via porumamilla Section of NH 167 Two Lane with paved Shoulder in,MoRTH,618103,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2022,04/2026,07/2026,279.29,279.29,168.7,90.33,2026-06,0.0,3.0,49
787,Rehabilitation and upgradation of NH 326A from km 0/0 to 41/979 excluding km 2/255 to 3/372 and km 36/820 to 38/275 Odisha border to Narasamapeta to two lane with paved Shoulders in the State of Andhra Pradesh under NHO on EPC Mode,MoRTH,618125,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2018,03/2020,10/2025,228.32,228.32,0.0,100.0,2026-06,0.0,67.0,24
788,Widening of Existing Road to Two Lane with Paved Shoulder Configuration from Km 0.00 to 26.000 & Km 45.200 To 59.622 Of NH 365BB in the State of Andhra Pradesh Under Annual Plan 2023-24 through EPC Mode,MoRTH,618193,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,01/2024,12/2026,12/2026,368.63,368.63,62.43,22.55,2026-06,0.0,0.0,35
789,Rehabilitation and upgradation of New NH 544DD from design Chainage Km. 56/000 to 102/20 of Kalyandrg - Molakalmuru Section,MoRTH,618194,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2018,02/2020,09/2025,294.13,285.29,312.4,98.52,2026-06,-3.0055,67.0,23
790,Rehabilitation and Up-gradation of Dhindi - Digamarru section from Km 126/510 to Km 135/740 of NH -214 New NH -216 and digamarru -Losari section from Km 0/000 tp Km 34/230 of NH-214 A New Nh-216 to two lane with paved shoulder in the state of AP-NH,MoRTH,618236,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,02/2016,05/2018,11/2023,316.06,288.76,222.43,100.0,2026-06,-8.6376,66.0,27
791,Rehabilitation and Up-gradation of Thimmapuram to Gurajanapalli section from Km 26/150 to Km 41/161 of NH - 214 New NH - 216 to two lane with paved shoulder in the state of Andhra Pradesh under NHDP-IV,MoRTH,618238,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,08/2016,07/2018,09/2026,350.61,432.91,233.93,98.2,2026-06,23.4734,98.0,23
792,"Rehabilitation & Upgradation of NH214 New NH-216 from Km 34/230 to Km 84/550 Losari to Machavaram Section to two lane with paved shoulder in the state of Andhrapradesh under NHDP-IV through Engineering, Procurement& Construction EPC mode.",MoRTH,618239,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2016,09/2018,07/2025,445.22,459.37,0.0,98.6,2026-06,3.1782,82.0,30
793,Construction of Paderu bypass Km 0000 to Km 13000 of 2- lane with paved shoulder on NH-516E,MoRTH,618254,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2023,07/2026,12/2026,244.43,244.43,21.96,13.0,2026-06,0.0,5.0,40
794,Two laning with paved shoulders of Lambasingi to Paderusection of NH 516E,MoRTH,618255,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,04/2020,11/2025,03/2027,361.24,358.05,145.94,43.22,2026-06,-0.8831,16.0,67
795,"Rehabilitation and Upgradation to 2-lane with paved should ders Sir, configuration of Chaprathipalem to Lambasingi section Km 165500 to Km 205000 of NH-516E in the State of Andhra Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode",MoRTH,618256,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,08/2020,10/2024,07/2026,311.22,311.22,211.05,91.25,2026-06,0.0,21.0,50
796,Rehabilitation and Upgradation to 2-lane with paved shoulders configuration of Koyyuru to Chaprathipalem section Km 120000 to Km 165500 of NH-516E in the State of Andhra Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode,MoRTH,618257,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,08/2020,07/2024,07/2026,349.29,349.29,264.81,100.0,2026-06,0.0,24.0,47
797,Construction of i Connecting Road from Z-Morh Tunnel to Zojila Tunnel Road Length 18.475km and ii 14.150 Km long 2-L Bi-directional single tube Zoji-la Tunnel across Zojila Pass on Sonamarg - Kargil section from Km 82 to Km 118 of NH-01 under PMDP,NHIDCL,618412,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,01/2018,09/2026,02/2028,6808.69,6808.69,3549.07,68.8,2026-06,0.0,17.0,104
798,Bangalore Chennai Expressway Phase-II Pkg-II from km.96.000 to Km 127.000 Baireddypalle to Bangarupalem section,NHAI,618475,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,02/2021,06/2025,10/2026,2548.04,2548.04,1327.64,93.32,2026-06,0.0,16.0,52
799,Bangalore Chennai Expressway Phase-II Pkg-III from km.127.000 to Km 156.000 Bangarupalem to Gudipala section,NHAI,618476,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,11/2020,10/2024,08/2026,1407.33,1407.33,868.61,99.46,2026-06,0.0,22.0,47
800,Construction of 6 lane elevated corridor including its approaches from Km. 629880 to Km. 634470 Design Chainage of NH-16 in Ranasthalam Town portion in the state of Andhra Pradesh on EPC Mode under NHO.,NHAI,618524,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,07/2024,03/2027,08/2027,257.98,192.85,55.83,35.63,2026-06,-25.2461,5.0,32
801,Construction of flyover at Gammon Junction at Km.903.265 on NH16 including vent at Diwancheruvu junction at Km.902.308 Blackspot ID No.AP03299 in Andhra Pradesh on EPC mode under NHO,NHAI,618525,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2025,10/2027,10/2027,326.61,223.29,43.67,18.79,2026-06,-31.6341,0.0,31
802,6L of Gundugolanu Design km 1023.280 to Kalaparru Design km 1050.680 of NH-5 New NH-16,NHAI,618526,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,10/2018,07/2021,08/2026,665.59,665.59,643.95,95.73,2026-06,0.0,61.0,33
803,6L of Anandapuram Pendurthi Anakapalli Section from km. 681.000 to km. 731.780 of NH-16,NHAI,618579,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,01/2018,07/2021,07/2026,2527.0,2957.25,2376.08,100.0,2026-06,17.0261,60.0,42
804,Nandigama Bypass and Kanchikacherla bypass,NHAI,618629,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,11/2017,06/2019,09/2026,416.07,444.58,387.77,98.47,2026-06,6.8522,87.0,19
805,4L of Kadapa China Orampadu section of NH-716 Package I of Kadapa-Renigunta section,NHAI,618633,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,12/2022,03/2028,03/2028,1732.66,1732.66,105.77,2.3,2026-06,0.0,0.0,63
806,6L Korlam-Kantakapalle Section of NH-130CD Road from Km 421.100 to Km 445.100 Pkg-3,NHAI,618682,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,02/2021,02/2024,07/2026,1112.7,1127.63,849.97,99.5,2026-06,1.3418,29.0,36
807,Renigunta - Poyya - Naidupeta km 124.60 to km 183.4 of NH 71,NHAI,618700,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,03/2020,01/2024,09/2026,1863.09,2510.14,1677.08,98.6,2026-06,34.7299,32.0,46
808,6L Access Controlled Greenfield Highway from Kodur Ch. 0000 to Vanavolu Ch. 24300 of [NH-544G] Package-1,NHAI,618712,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,01/2023,02/2026,03/2027,912.94,798.25,357.89,86.63,2026-06,-12.5627,13.0,37
809,6L Access Controlled Greenfield Highway from Yerragudipadu Ch. 129000 to Audireddipalle Ch. 160000 of [NH 544G] Package-6,NHAI,618713,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,02/2023,02/2026,11/2027,1200.42,1019.69,282.03,45.04,2026-06,-15.0556,21.0,36
810,6L Access Controlled Greenfield Highway from Nallacheruvu palli Ch. 96300 to Yerragudipadu Ch. 129000 of [NH-544G] Package-5,NHAI,618714,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,02/2022,02/2026,06/2027,1253.26,1095.78,388.46,65.04,2026-06,-12.5656,16.0,48
811,6L Access Controlled Greenfield Highway from Odulapalle Ch. 72000 to Nallacheruvu- palli Ch. 96300 of [NH-544G]Package-4,NHAI,618715,Andhra Pradesh,Ministry of Road Transport & Highways,Roads & Highways,01/2023,02/2026,04/2027,1058.9,946.1,403.17,75.92,2026-06,-10.6526,14.0,37
